ANO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P801_1,P801_2,P801_3,P801_4,P801_5,P801_6,P801_7,P801_8,P801_9,P801_10,P801_11,P801_12,P801_13,P801_14,P801_15,P801_16,P801_17,P801_20,P801_18,P801_19,P806,TICUEST01,FACTOR07,NCONGLOME,SUB_CONGLOME
2022,01,005257,005,11,020101,5,3,02,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0, ,2,173.031494140625,013318,00
2022,01,005257,019,11,020101,5,3,01,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0, ,2,173.031494140625,013318,00
2022,01,005257,043,11,020101,5,3,01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0, ,2,173.031494140625,013318,00
2022,01,005257,084,11,020101,5,3,01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,173.031494140625,013318,00
2022,01,005480,013,11,040104,6,1,02,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,220.894592285156,042227,00
2022,01,005480,029,11,040104,6,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,220.894592285156,042227,00
2022,01,005480,042,11,040104,6,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,220.894592285156,042227,00
2022,01,005480,069,11,040104,6,1,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,220.894592285156,042227,00
2022,01,005480,085,11,040104,6,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,220.894592285156,042227,00
2022,01,005480,098,11,040104,6,1,01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,220.894592285156,042227,00
2022,01,005511,004,11,040103,6,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,697.003051757813,042619,00
2022,01,005511,029,11,040103,6,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,697.003051757813,042619,00
2022,01,005511,043,11,040103,6,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,697.003051757813,042619,00
2022,01,005511,093,11,040103,6,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,697.003051757813,042619,00
2022,01,005511,124,11,040103,6,1,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,697.003051757813,042619,00
2022,01,005559,048,11,040129,6,1,00,99, , , , , , , , , , , , , , , , , , , , ,2,28.5665740966797,043196,00
2022,01,005559,078,11,040129,6,1,01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,28.5665740966797,043196,00
2022,01,005559,140,11,040129,6,1,01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,28.5665740966797,043196,00
2022,01,005559,171,11,040129,6,1,00,99, , , , , , , , , , , , , , , , , , , , ,2,28.5665740966797,043196,00
2022,01,005559,202,11,040129,6,1,01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,28.5665740966797,043196,00
2022,01,005559,232,11,040129,6,1,01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,28.5665740966797,043196,00
2022,01,005570,010,11,040122,6,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,224.343063354492,043316,00
2022,01,005570,060,11,040122,6,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,224.343063354492,043316,00
2022,01,005570,089,11,040122,6,1,04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,224.343063354492,043316,00
2022,01,005570,109,11,040122,6,1,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,224.343063354492,043316,00
2022,01,005570,140,11,040122,6,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,224.343063354492,043316,00
2022,01,005591,006,11,040413,3,5,01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,63.6188354492188,041795,00
